1,"wle","LOGIST_1C","point1","moscow",3,1,"some_comment1","09:00:00","17:00:00","some_district","efregrthr","123456","ergersghrth","srgf@ewuf.ru","89032343556","resp_personID1","WAREHOUSE"
2,"52","LOGIST_1C","Апатиты",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","tumanoff@aneva.ru;apatity@aneva.ru;",\N,"","AGENCY"
3,"62","LOGIST_1C","Армавир",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","",\N,"","AGENCY"
4,"53","LOGIST_1C","Архангельск",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","tumanoff@aneva.ru;davydova@aneva.ru;polikarpova@aneva.ru;",\N,"","AGENCY"
5,"49","LOGIST_1C","Братск",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","",\N,"","AGENCY"
6,"19","LOGIST_1C","Брянск",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","bondarev@briansk.sbat.ru;borisova@briansk.sbat.ru;",\N,"","AGENCY"
7,"34","LOGIST_1C","Великие Луки",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","v_luki@moscow.sbat.ru;",\N,"","AGENCY"
8,"11","LOGIST_1C","Вельск",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","",\N,"","AGENCY"
9,"24","LOGIST_1C","Владимир",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","abibulaev@vladimir.sbat.ru;lazareva@vladimir.sbat.ru;nnovgorod@nnovgorod.sbat.ru;",\N,"","AGENCY"
10,"54","LOGIST_1C","Вологда",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","polikarpova@aneva.ru;davydova@aneva.ru;",\N,"","AGENCY"
11,"79","LOGIST_1C","Воронеж",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","mailto:letunovskiy_v@voronezh.sbat.ru;shtanko_o@voronezh.sbat.ru;",\N,"","AGENCY"
12,"01","LOGIST_1C","Екатеринбург",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","",\N,"","WAREHOUSE"
13,"07","LOGIST_1C","Златоуст",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","Rekunov@zlatoust.sbat.ru;filatova@zlatoust.sbat.ru;",\N,"","AGENCY"
14,"23","LOGIST_1C","Иваново",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","ivanovo@ivanovo.sbat.ru;pavlov@ivanovo.sbat.ru;mordvinov@moscow.sbat.ru;vladimir@vladimir.sbat.ru;abibulaev@vladimir.sbat.ru;",\N,"","AGENCY"
15,"09","LOGIST_1C","Ижевск",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","suhareva@izhevsk.sbat.ru;baskov@perm.sbat.ru;sergienko @ izhevsk.sbat.ru;sergienko@izhevsk.sbat.ru;",\N,"","AGENCY"
16,"36","LOGIST_1C","Иркутск",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","voronkova@ekt.sbat.ru;",\N,"","WAREHOUSE"
17,"30","LOGIST_1C","Казань",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","muhtarov@kazan.sbat.ru;galliulina_k@kazan.sbat.ru;Ashadullin@kazan.sbat.ru;sizov_a@ulianovsk.sbat.ru;ryabov_i@ulianovsk.sbat.ru;voronkova@ekt.sbat.ru;",\N,"","AGENCY"
18,"21","LOGIST_1C","Калуга",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","kartyshev@kaluga.sbat.ru;bondarev@briansk.sbat.ru;borisova@briansk.sbat.ru;",\N,"","AGENCY"
19,"17","LOGIST_1C","Каменск-Уральский",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","dodonov@ekt.sbat.ru;",\N,"","AGENCY"
20,"82","LOGIST_1C","Кемерово",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","makulov@chel.sbat.ru;semushev v@novosibirsk.sbat.ru;office@novosibirsk.sbat.ru;office@novosibirsk.sbat.ru;",\N,"","AGENCY"
21,"55","LOGIST_1C","Киров",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","shivrin@aneva.ru;",\N,"","AGENCY"
22,"27","LOGIST_1C","Кострома",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","kazarina_e@kostroma.sbat.ru;matrosov_a@yaroslavl.sbat.ru;abibulaev@vladimir.sbat.ru;vladimir@vladimir.sbat.ru;",\N,"","AGENCY"
23,"14","LOGIST_1C","Котлас",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","",\N,"","AGENCY"
24,"56","LOGIST_1C","Краснодар",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","",\N,"","WAREHOUSE"
25,"06","LOGIST_1C","Курган",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","depner@kurgan.sbat.ru;naimanov@kurgan.sbat.ru;",\N,"","AGENCY"
26,"32","LOGIST_1C","Липецк",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","dmitrieva_o@lipetsk.sbat.ru;zaitsev@lipetsk.sbat.ru;grechkina_j@lipetsk.sbat.ru;<borisova t@lipetsk.sbat.ru>;borisova_t@lipetsk.sbat.ru;borisova_t@lip",\N,"","AGENCY"
27,"08","LOGIST_1C","Магнитогорск",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","markova@magnit.sbat.ru;platonova@magnit.sbat.ru;",\N,"","AGENCY"
28,"15","LOGIST_1C","Москва",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","preobrajenskaya@moscow.sbat.ru;mishina@moscow.sbat.ru;<mordvinov@moscow.sbat.ru>;<ofrel@moscow.sbat.ru>;voronkova@ekt.sbat.ru;kochenkov_a@moscow.sbat.",\N,"","WAREHOUSE"
29,"41","LOGIST_1C","Москва (Альфа)",\N,\N,\N,\N,\N,\N,\N,\N,\N,"","",\N,"","AGENCY"
